('4/1/1974', ['2.41', '3.98', '8.84', '39.2', '58.83', '8.3'])
('5/1/1974', ['2.45', '3.52', '8.25', '37.3', '72.32', '13.88'])
('6/1/1974', ['2.57', '3.57', '7.69', '32.6', '76.75', '18.37'])
('7/1/1974', ['2.91', '4.04', '7.61', '35.3', '72.69', '21.5'])
('8/1/1974', ['3.37', '4.24', '7.74', '37', '67.22', '19.69'])
('9/1/1974', ['3.3', '4.32', '8.07', '32.6', '66.44', '15.27'])
('10/1/1974', ['3.45', '4.85', '8.34', '30.6', '51.44', '9.48'])
('11/1/1974', ['3.32', '4.87', '8.48', '28.2', '48.98', '2.67'])
('12/1/1974', ['3.27', '4.65', '8.25', '27.7', '46.25', '-2.37'])
('1/1/1975', ['3.07', '4.11', '8.43', '27.4', '39.69', '-3.35'])
('2/1/1975', ['2.86', '3.95', '8.38', '26.8', '41.66', '-2.63'])
('3/1/1975', ['2.67', '3.65', '8.22', '27.8', '57.52', '1.04'])
('4/1/1975', ['2.68', '3.69', '8.18', '31.6', '49.83', '5.82'])
('5/1/1975', ['2.66', '3.47', '8.07', '35.3', '65.58', '13.79'])
('6/1/1975', ['2.68', '2.92', '7.99', '36.8', '62.4', '17.94'])
('7/1/1975', ['2.72', '3.33', '8.25', '35.2', '64.94', '21.34'])
('8/1/1975', ['2.95', '3.89', '8.64', '32.3', '50.73', '20.09'])
('9/1/1975', ['2.76', '4.11', '9.25', '34', '60.08', '15.18'])
('10/1/1975', ['2.62', '4.02', '9.7', '33.4', '56.07', '9.91'])
('11/1/1975', ['2.33', '3.58', '10', '32.3', '29.97', '2.2'])
('12/1/1975', ['2.37', '3.41', '10.3', '33.5', '33.64', '-2.29'])
('1/1/1976', ['2.44', '3.43', '10.1', '32.8', '37.37', '-4.01'])
('2/1/1976', ['2.48', '3.66', '9.76', '33.9', '29.01', '-0.04'])
('3/1/1976', ['2.5', '3.65', '9.75', '33.4', '67.29', '2.55'])
('4/1/1976', ['2.46', '3.5', '9.4', '38', '52.37', '8.39'])
('5/1/1976', ['2.61', '3.43', '9.25', '37.1', '59.93', '13.05'])
('6/1/1976', ['2.74', '3.46', '9.14', '36.4', '59.35', '18.12'])
('7/1/1976', ['2.82', '3.33', '9.43', '33.6', '59.03', '20.96'])
('8/1/1976', ['2.64', '2.97', '9.7', '33', '82.24', '19.89'])
('9/1/1976', ['2.6', '2.88', '9.84', '32.3', '79.25', '16.01'])
('10/1/1976', ['2.33', '2.59', '9.96', '32.2', '51.62', '7.87'])
('11/1/1976', ['2.02', '2.46', '9.89', '31.2', '59.5', '1.73'])
('12/1/1976', ['2.24', '2.39', '9.72', '32.4', '57.43', '-3.05'])
('1/1/1977', ['2.34', '2.43', '9.65', '32.2', '68.57', '-5.71'])
('2/1/1977', ['2.34', '2.47', '9.53', '33.2', '39.88', '0.16'])
('3/1/1977', ['2.35', '2.43', '9.45', '33.8', '49.86', '2.63'])
('4/1/1977', ['2.31', '2.37', '9.44', '35.3', '54.79', '9.08'])
('5/1/1977', ['2.25', '2.19', '9.37', '36.3', '79.44', '14.36'])
('6/1/1977', ['2.12', '2.03', '9.4', '34', '63.33', '19.42'])
('7/1/1977', ['1.88', '2.04', '9.49', '34.9', '64.85', '21.85'])
('8/1/1977', ['1.63', '2.13', '9.66', '34.5', '65.54', '20.68'])
('9/1/1977', ['1.6', '2.16', '9.97', '34.7', '57.94', '16.87'])
('10/1/1977', ['1.67', '2.3', '10.1', '35.1', '31.23', '9.92'])
('11/1/1977', ['1.88', '2.46', '10.2', '34.3', '59.29', '2.47'])
('12/1/1977', ['1.97', '2.47', '10.2', '35.5', '59.36', '-2.38'])
('1/1/1978', ['2', '2.53', '10.2', '37.7', '73.03', '-4.86'])
